nid,title,status,created,changed,description,description_format,short_description,date_value,date_end_value,date_duration,date_rrule,video_media_id,speaker_nids,rsvp_uri,rsvp_title,accent_color,social_card_uri,event_mode,location
1,"SFDUG - Mar 10 - Tighten up your Drupal code using PHPStan",1,1642752000,1767511371,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: DevOps for frontend developers (who can't backend good and wanna learn to understand other stuff good, too) with Tearyne Almendariz, Developer Advocate at Pantheon<br/>
* 7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation:<br/>
DevOps for frontend developers (who can't backend good and wanna learn to understand other stuff good, too) with Tearyne Almendariz, Developer Advocate at Pantheon</p>
<p>""As a front-end web developer, the first leg of Tearyne Almendariz's career focused heavily on the user interaction layer - analyzing user experiences and designing and coding user interfaces. When she joined her first large scale production team, there were a lot of tasks in the realm of DevOps with which she found herself very unfamiliar.</p>
<p>She was lucky to have many senior and full-stack developers mentor and assist her along the way, and with this talk she aims to help others to similarly level up their DevOps knowledge and skillsets.</p>
<p>In this talk, you can expect to:<br/>
- learn the lingo and key principles of DevOps - what is a trunk? What happened to branches? What are secrets (and how do we keep them)?<br/>
- learn about different DevOps workflows and what workflows work best for different types of projects<br/>
- deepen your understanding of how interacting with larger scale development workflows impact the structure of your code<br/>
- learn about the power of scripting - an invaluable process that will help you become a powerful collaborator while keeping your time focused and protected from excessive tinkering""</p>
<p>About the speaker:<br/>
Tearyne D. Almendariz's passion for all things Japan and Sailor Moon led her to become a front-end developer with a focus on accessibility and usability. She has designed, prototyped, and coded user interfaces and worked on teams small and large. One time she even converted Coldfusion sites to React Apps -- and lived to tell the tale.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>

</div>",full_html,,1646962200,1646967600,90,,8,,,,,,online,
2,"SFDUG - May 13 - Building a High Availability Environment for Drupal with Azure",1,1617951600,1617951600,"<div class=""node-content"">




<p>Join us for the San Francisco Drupal User Group (SFDUG) Bay Area Virtual DrupalCon Happy Hour - virtually! Bring yourself, some food, the beverage of your choice and come socialize!!</p>
<p>General Agenda:<br/>
* 3:30 - 6:30 pm: Networking and socializing</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!<br/>
****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a> </div>",full_html,,1620952200,1620957600,90,,20,,,,,,online,
3,"SFDUG - Measuring Performance",1,1407654000,1407654000,"<div class=""node-content"">




<p>Drupal 8 is bringing some big changes to the world of Drupal.</p>
<p>Josh Koenig and David Hwang  will be sharing their thoughts on what a decoupled front end will mean for the next generation of Drupal sites and how this new approach may end up changing the future of the web.</p>
<p>Please RSVP at the meetup site: <a href=""http://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/165763362/"" title=""http://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/165763362/"">http://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/1657...</a></p>
<a name=""signup""></a> </div>",full_html,,,,,,,,,,,,online,
4,"SFDUG July 2023: Simplifying Responsive Images in Drupal: Discover an Easier Approach",1,1684911600,1684911600,"<div class=""node-content"">




<h2>Details</h2>
<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.<br/>
General Agenda:</p>
<ul>
<li>5:30 - 6:00 pm: Networking and socializing</li>
<li>Discussion on what’s in Drupal news</li>
<li>Who is hiring in the SF Bay Area?</li>
<li>Who needs to hire?</li>
</ul>
<p>6:00 - 7:30 pm: Unpacking DrupalCon Pittsburgh<br/>
Join us for informal discussion and lightning talks about what we learned and loved at this year’s DrupalCon in Pittsburgh.</p>
<p>Whether you attended in person, participated in online contrib, or watched recorded sessions, come share your experiences and the new things you learned. “Talks” can be very informal - any form of share and/or tell is welcome.</p>
<p>Missed out on DrupalCon entirely? Here’s your chance to come hear what exciting new developments are going on with Drupal initiatives and the community.</p>
<p>Format will be informal and we’ll try to make space for everyone to speak/share. You don’t have to prepare a slide deck or demo (although you can).</p>
<p><em>Please Note:</em><br/>
We are changing the SFDUG monthly meetups to the third Thursday of each month with this and all subsequent meetups. We have been meeting on the second Thursday of each month. The time will remain the same (5:30-7:30 pm PT).</p>
<h3>About the sponsor:</h3>
<p>Kanopi Studios - They design, build, and support websites for clients who want to make a positive impact.</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a>
</div>",full_html,,1689296400,1689300000,60,,,,,,,,online,
5,"SFDUG June 2023",1,1678262400,1678262400,"<div class=""node-content"">


<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>This is a virtual event. Be sure to RSVP to the Meetup event and we will email a ZOOM link the afternoon of the event.</p>
<p><strong>General Agenda:</strong></p>
<p>Let’s share and discuss some of the cool things we are doing with Views:</p>
<ul>
<li>Cool contributed modules that extend Views</li>
<li>Custom modules or hooks you have written for Views</li>
<li>Examples of Views configuration</li>
<li>Views query optimization</li>
<li>Alternatives to Drupal views</li>
<li>Views gotchas and pitfalls</li>
<li>Questions about Views</li>
</ul>
<p>Format will be informal and we’ll try to make space for everyone to speak/share. You don’t have to prepare a slide deck or demo (although you can).</p>
<p><strong>About the sponsor:</strong><br/>
Kanopi Studios - They design, build, and support websites for clients who want to make a positive impact.</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a><div class=""signup_anonymous_login"">Please <a href=""/user/login?destination=node%2F536853"">login</a> or <a href=""/user/register?destination=node%2F536853"">register</a> to sign up for this <em>Event</em>.</div>
</div>",full_html,,1686272400,1686276000,60,,,,,,,,online,
6,"SFDUG: Viewsapalooza — Our Favorite Drupal Views Tools & Tricks",1,1671609600,1787190684,"<div class=""node-content"">




<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>This is a virtual event. Be sure to RSVP to the Meetup event and we will email a ZOOM link the afternoon of the event.</p>
<p>General Agenda:</p>
<p>5:30 - 6:00 pm: Networking and socializing<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?</p>
<p>6:00 - 7:30 pm: Drupal Year in Review, An Informal Group Discussion<br/>
Let’s take a look back together at the past year in Drupal and share the things we’ve learned and accomplished. Everyone is encouraged to contribute to the discussion: you can present a brief slide deck, demo or just chat. We’ll try to give everyone as much time as we can depending on attendance.</p>
<p>What was the coolest new thing you learned?<br/>
Which modules changed your life?<br/>
Did you write a cool module or patch?<br/>
Do you want to show off a site you launched?<br/>
Where did you Drupal?<br/>
What community initiatives did you participate in?<br/>
About the sponsor:<br/>
Kanopi Studios - They design, build, and support websites for clients who want to make a positive impact.</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a>
</div>",full_html,,1678413600,1678417200,60,,1,,,,,,online,
7,"SFDUG January 12, 2023 - Drupal Year in Review, An Informal Group Discussion",1,1668672000,1767769334,"<div class=""node-content"">




<p>If you ever have installed Drupal in any language other than English, you have already downloaded translations from Localize, the Drupal community translation server (localize.drupal.org). It is a collaborative tool where contributors from various linguistic and cultural communities coordinate their efforts to get Drupal core and contrib projects translated.</p>
<p>With the upcoming release of Drupal 10, a group of volunteers gathered in Ghent in April 2022 and initiated the port of this major Drupal community tool from Drupal 7 to Drupal 9. Let's dive together into its current status.</p>

</div>",full_html,,1673573400,1673578800,90,,,,,,,,online,
8,"SFDUG December 8, 2022 - D9 Localization Server Upgrade Initiative Status: Taking Care of Drupal’s Translation Tools, with Nicolas Loye & Marine Gandy",1,1660892400,1660892400,"<div class=""node-content"">




<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.<br/>
This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*****<br/>
General Agenda:</p>
<p>5:30 - 5:45 pm: Networking and socializing<br/>
5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?</p>
<p>6:00 - 7:00 pm: An Update on WCAG 3.0, with Jaunita George, JD, PMP, CPWA, SA at NFCU<br/>
7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal<br/>
Presentation:<br/>
An Update on WCAG 3.0<br/>
The Accessibility Guidelines Working Group is doing a lot of great work on WCAG 3.0. This will be a major overhaul of the current guidelines and will feature many new additions and changes over the WCAG 2.x standards.</p>
<p>Learn how to read the newest guidance, what's still being worked on, and how the guidance may change in the future. It's still a work in progress, but there's a lot being done to include the latest research in digital accessibility and improve upon previous standards/guidance.</p>
<p>About the speaker:<br/>
Jaunita George, JD, PMP, CPWA, SA joined NFCU in 2020 as a contractor and became an FTE later that year. She currently works as an ADA Digital Program Manager for the Marketing Agile Delivery Team and chairs the Digital A11ies Task Force and Community of Practice. She also represents NFCU on the Accessibility Guidelines and ARIA Working Groups at the W3C.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build, and support websites for clients who want to make a positive impact.</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a> </div>",full_html,,1670549400,1670554800,90,,,,,,,,online,
9,"SFDUG August 11, 2022: Speaker Workshop",1,1658386800,1767511371,"<div class=""node-content"">




<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*****</p>
<p>General Agenda:<br/>
5:30 - 5:45 pm: Networking and socializing<br/>
5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
6:00 - 7:00 pm: Optimize your images to make your site load faster with Martin Anderson-Clutz, Senior Solutions Engineer at Acquia<br/>
7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation:<br/>
Optimize your images to make your site load faster</p>
<p>Your site speed is a crucial element of good UX, and an important part of technical SEO efforts. We often think of optimizing Drupal's speed in terms of accelerating the page rendering, but often the speed of Drupal sites is hurt even more by requiring visitors to download much bigger image files than are truly necessary.</p>
<p>In this session we'll review effective strategies to make your image files a fraction of their current size, and the core and contrib modules needed.</p>
<p>About the speaker:</p>
<p>Martin Anderson-Clutz, Solutions Engineer at Acquia started his Drupal journey in 2005, with version 4.6. Since then, his passion for the community has been shown in his frequent participation at Drupal user groups, local Drupalcamps, and Drupalcons, often as a speaker. He was with Digital Echidna (now a Northern company) from 2015 to 2021, and recently joined Acquia as a Solutions Engineer.</p>
<p>He also maintains a number of contrib modules, including Smart Date, Search Overrides, and a few others.</p>
<p>About the sponsor:</p>
<p>Kanopi Studios - They design, build, and support websites for clients who want to make a positive impact.</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a>
</div>",full_html,,1660264200,1660269600,90,,,,,,,,online,
10,"SFDUG November 10, 2022 - An Update on WCAG 3.0",1,1658041200,1767769218,"<div class=""node-content"">




<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*****</p>
<p>This is a special edition of SFDUG where we will be hosting a workshop in conjunction with the Drupal DEI community.</p>
<p>General Agenda:</p>
<p>5:30 - 5:45: Opening Remarks<br/>
5:45 - 7:30: Speaker Workshop</p>
<p>Presentation:<br/>
Speaker Workshop</p>
<p>This workshop helps speakers from underrepresented groups prepare to speak at conferences. This will in turn help local meetups, Drupal Camps, and even DrupalCons develop a more diverse speaker roster. The workshop helps folks bust through their impostor syndrome and develop a topic, title, pitch, and outline.</p>
<p>The workshop covers:<br/>
 - Impostor syndrome<br/>
 - Finding a topic<br/>
 - Better speaker tips<br/>
 - Writing a great pitch<br/>
 - Creating an outline<br/>
 - Creating great slides<br/>
 - Public speaking confidence</p>
<p>This workshop is a great fit for you if you’ve ever felt uncomfortable about speaking at events or wanted to present but found yourself thinking:<br/>
 - “What would I talk about?”<br/>
 - “I’m not an expert in anything.”</p>
<p>About the speakers:<br/>
AmyJune Hineline is the Senior Community Manager at Opensource.com, a project supported by Red Hat. She is also a Drupal Core Mentor. With a dual focus on both open-source community development and inclusivity, she is uniquely positioned to help individuals become more comfortable and confident as they contribute to their communities.</p>
<p>Marjorie Freeman is the community manager for Enable Architect (redhat.com/architect). It is her job to help IT practitioners amplify their voices by publishing their professional technical work. She is a creative individual, who appreciates the power of effective communication when it comes to making informed business decisions.</p>
<p>About the sponsor:</p>
<p>Kanopi Studios - They design, build, and support websites for clients who want to make a positive impact.</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a>
</div>",full_html,,1668130200,1668135600,90,,3,,,,,,online,
