media_id,name,url,created
1,"SFDUG - March 9 2023 - Viewsapalooza",https://www.youtube.com/watch?v=g0p9RlXXXWU,1709971200
2,"SFDUG - Jan. 8th 2022 - D9 Localization Server Upgrade Initiative",https://www.youtube.com/watch?v=ZgxL3MNs6y4,1641628800
3,"SFDUG - Nov. 10 2022 - An Update on WCAG 3.0",https://www.youtube.com/watch?v=1gXleQbsMZA,1668067200
4,"SFDUG - Sept. 8 2022 - Optimize your images",https://www.youtube.com/watch?v=RvJlS2c3e9c,1662620400
5,"SFDUG - July 2022: Drupal Views by Example",https://www.youtube.com/watch?v=wnEFUrB8ZFI,1658386800
6,"The Importance of Retention: Moving from Drupal 6/7/8 to Drupal 9/10",https://www.youtube.com/watch?v=j9g319DAJAQ,1657090800
7,"Custom Migration Source Plugins",https://www.youtube.com/watch?v=mLCjXDV81N0,1624518000
8,"Tighten up your Drupal code using PHPStan",https://www.youtube.com/watch?v=uW8oI4teYb4,1623308400
9,"SFDUG - Jan 14 - ECA (Event Condition Action)",https://www.youtube.com/watch?v=h9oXGTa1D0I,1610611200
10,"SFDUG - Stupendous Date Tricks",https://www.youtube.com/watch?v=GtYkPKqnWp0,1608105600
11,"Gift of Open Source AMA",https://www.youtube.com/watch?v=rl-vkZUtjuw,1605772800
12,"SFDUG - Nov 11 - Designing With & Not For",https://www.youtube.com/watch?v=mPtGyO3mNrI,1605081600
13,"SFDUG - Oct 14 - Accessible Slideshows",https://www.youtube.com/watch?v=WCgXhyKGqSE,1602658800
14,"SFDUG - Sept 9 - The Evolution of Drupal's Menu",https://www.youtube.com/watch?v=fclv2eb9jpg,1599634800
15,"SFDUG - Aug 12 2021 - Drupal development workflow on AWS",https://www.youtube.com/watch?v=aV4QKud1sxU,1597215600
16,"SFDUG - July 22 2021 - Understanding React.js",https://www.youtube.com/watch?v=r6bguPj46sM,1595401200
17,"SFDUG - June 24 - Concurrent Queue Workers",https://www.youtube.com/watch?v=0bva_8J-ghs,1592982000
18,"SFDUG - June 10 - Upgrading from D7 to Backdrop",https://www.youtube.com/watch?v=ewUpmzY29C8,1591772400
19,"SFDUG - May 27 2021 - ddev-gitpod",https://www.youtube.com/watch?v=jS6vooX0l-E,1590562800
20,"SFDUG - May 13 - Building a High Availability Environment",https://www.youtube.com/watch?v=rpTn3uiYIHY,1589353200
21,"SFDUG - March 25 - Boosting Layout Builder Under the Hood",https://www.youtube.com/watch?v=OHyY0vv6r8U,1616742000
22,"SF Drupal User's Group - April 9 2020 - Layout Builder",https://www.youtube.com/watch?v=d9IPx7ujitg,1586415600
23,"SF Drupal User's Group - May 14 2020 - How to make your site last",https://www.youtube.com/watch?v=5n3VEz_8-b8,1589439600
24,"SFDUG - June 11 2020 - Drupal 8 and 9 Migrations",https://www.youtube.com/watch?v=XBnOhNCcCJw,1591858800
25,"SFDUG - May 28 2020 - Choose Your Own Drupal Adventure",https://www.youtube.com/watch?v=mW9bneDOekA,1590649200
26,"SFDUG - August 13 2020 - Static Analysis",https://www.youtube.com/watch?v=pESm09RjhOg,1597302000
27,"SFDUG - Sept 10 2020 - Best practices for Integrating components",https://www.youtube.com/watch?v=DwN6WJK4yvk,1599721200
28,"SFDUG - Live Captioning: Make your next event accessible",https://www.youtube.com/watch?v=NLITPI7x_6s,1595487600
29,"San Francisco Drupal Users Group - October 8 2020 - Solr in Drupal",https://www.youtube.com/watch?v=JN2Zm_pe19k,1602140400
30,"SF Drupal User's Group - Sept 24 - Taking Maximum Advantage",https://www.youtube.com/watch?v=SvON0iuA_L8,1600930800
31,"SFDUG - Feb 25 - Friendly Digital Media Experiences",https://www.youtube.com/watch?v=ozaklnMQyGA,1601535600
32,"SFDUG - Leveraging Accessibility and Usability",https://www.youtube.com/watch?v=KM6Z2JHZu0M,1585897200
